drug	method	column	row	match_not
Rifampicin	Ariba	18	7	Match with phenotype
Rifampicin	Ariba	18	8	Match with phenotype
Rifampicin	Ariba	18	9	Match with phenotype
Rifampicin	Ariba	18	10	Match with phenotype
Rifampicin	Ariba	18	11	Match with phenotype
Rifampicin	Ariba	18	12	Match with phenotype
Rifampicin	Ariba	18	13	Match with phenotype
Rifampicin	Ariba	18	14	Match with phenotype
Rifampicin	Ariba	18	15	Match with phenotype
Rifampicin	Ariba	18	16	Match with phenotype
Rifampicin	Ariba	19	1	Match with phenotype
Rifampicin	Ariba	19	2	Match with phenotype
Rifampicin	Ariba	19	3	Match with phenotype
Rifampicin	Ariba	19	4	Match with phenotype
Rifampicin	Ariba	19	5	Match with phenotype
Rifampicin	Ariba	19	6	Match with phenotype
Rifampicin	Ariba	19	7	Match with phenotype
Rifampicin	Ariba	19	8	Match with phenotype
Rifampicin	Ariba	19	9	Match with phenotype
Rifampicin	Ariba	19	10	Not match with phenotype
Rifampicin	Ariba	19	11	Match with phenotype
Rifampicin	Ariba	19	12	Match with phenotype
Rifampicin	Ariba	19	13	Match with phenotype
Rifampicin	Ariba	19	14	Not match with phenotype
Rifampicin	Ariba	19	15	Match with phenotype
Rifampicin	Ariba	19	16	Match with phenotype
Rifampicin	Ariba	20	1	Match with phenotype
Rifampicin	Ariba	20	2	Not match with phenotype
Rifampicin	Ariba	20	3	Match with phenotype
Rifampicin	Ariba	20	4	Match with phenotype
Rifampicin	Ariba	20	5	Match with phenotype
Rifampicin	Ariba	20	6	Match with phenotype
Rifampicin	Ariba	20	7	Match with phenotype
Rifampicin	Ariba	20	8	Match with phenotype
Rifampicin	Ariba	20	9	Match with phenotype
Rifampicin	Ariba	20	10	Match with phenotype
Rifampicin	Ariba	20	11	Match with phenotype
Rifampicin	Ariba	20	12	Match with phenotype
Rifampicin	Ariba	20	13	Not match with phenotype
Rifampicin	Ariba	20	14	Match with phenotype
Rifampicin	Ariba	20	15	Match with phenotype
Rifampicin	Ariba	20	16	Match with phenotype
Rifampicin	Ariba	21	1	Match with phenotype
Rifampicin	Ariba	21	2	Match with phenotype
Rifampicin	Ariba	21	3	Match with phenotype
Rifampicin	Ariba	21	4	Match with phenotype
Rifampicin	Ariba	21	5	Match with phenotype
Rifampicin	Ariba	21	6	Match with phenotype
Rifampicin	Ariba	21	7	Match with phenotype
Rifampicin	Ariba	21	8	Match with phenotype
Rifampicin	Ariba	21	9	Match with phenotype
Rifampicin	Ariba	21	10	Match with phenotype
Rifampicin	Ariba	21	11	Match with phenotype
Rifampicin	Ariba	21	12	Match with phenotype
Rifampicin	Ariba	21	13	Match with phenotype
Rifampicin	Ariba	21	14	Match with phenotype
Rifampicin	Ariba	21	15	Match with phenotype
Rifampicin	Ariba	21	16	Match with phenotype
Rifampicin	Ariba	22	1	Match with phenotype
Rifampicin	Ariba	22	2	Match with phenotype
Rifampicin	Ariba	22	3	Match with phenotype
Rifampicin	Ariba	22	4	Match with phenotype
Rifampicin	Ariba	22	5	Match with phenotype
Rifampicin	Ariba	22	6	Match with phenotype
Rifampicin	Ariba	22	7	Match with phenotype
Rifampicin	Ariba	22	8	Match with phenotype
Rifampicin	Ariba	22	9	Match with phenotype
Rifampicin	Ariba	22	10	Match with phenotype
Rifampicin	Ariba	22	11	Match with phenotype
Rifampicin	Ariba	22	12	Match with phenotype
Rifampicin	Ariba	22	13	Match with phenotype
Rifampicin	Ariba	22	14	Match with phenotype
Rifampicin	Ariba	22	15	Match with phenotype
Rifampicin	Ariba	22	16	Match with phenotype
Rifampicin	Ariba	23	1	Match with phenotype
Rifampicin	Ariba	23	2	Not match with phenotype
Rifampicin	Ariba	23	3	Match with phenotype
Rifampicin	Ariba	23	4	Match with phenotype
Rifampicin	Ariba	23	5	Match with phenotype
Rifampicin	Ariba	23	6	Match with phenotype
Rifampicin	Ariba	23	7	Match with phenotype
Rifampicin	Ariba	23	8	Match with phenotype
Rifampicin	Ariba	23	9	Match with phenotype
Rifampicin	Ariba	23	10	Match with phenotype
Rifampicin	Ariba	23	11	Match with phenotype
Rifampicin	Ariba	23	12	Match with phenotype
Rifampicin	Ariba	23	13	Match with phenotype
Rifampicin	Ariba	23	14	Match with phenotype
Rifampicin	Ariba	23	15	Match with phenotype
Rifampicin	Ariba	23	16	Match with phenotype
Rifampicin	Ariba	24	1	Match with phenotype
Rifampicin	Ariba	24	2	Match with phenotype
Rifampicin	Ariba	24	3	Match with phenotype
Rifampicin	Ariba	24	4	Match with phenotype
Rifampicin	Ariba	24	5	Match with phenotype
Rifampicin	Ariba	24	6	Match with phenotype
Rifampicin	Ariba	24	7	Match with phenotype
Rifampicin	Ariba	24	8	Match with phenotype
Rifampicin	Ariba	24	9	Match with phenotype
Rifampicin	Ariba	24	10	Match with phenotype
Rifampicin	Ariba	24	11	Match with phenotype
Rifampicin	Ariba	24	12	Match with phenotype
Rifampicin	Ariba	24	13	Match with phenotype
Rifampicin	Ariba	24	14	Match with phenotype
Rifampicin	Ariba	24	15	Match with phenotype
Rifampicin	Ariba	24	16	Match with phenotype
Rifampicin	Ariba	25	1	Match with phenotype
Rifampicin	Ariba	25	2	Match with phenotype
Rifampicin	Ariba	25	3	Match with phenotype
Rifampicin	Ariba	25	4	Match with phenotype
Rifampicin	Ariba	25	5	Not match with phenotype
Rifampicin	Ariba	25	6	Match with phenotype
Rifampicin	Ariba	25	7	Match with phenotype
Rifampicin	Ariba	25	8	Match with phenotype
Rifampicin	Ariba	25	9	Match with phenotype
Rifampicin	Ariba	25	10	Match with phenotype
Rifampicin	Ariba	25	11	Match with phenotype
Rifampicin	Ariba	25	12	Match with phenotype
Rifampicin	Ariba	25	13	Match with phenotype
Rifampicin	Ariba	25	14	Match with phenotype
Rifampicin	Ariba	25	15	Match with phenotype
Rifampicin	Ariba	25	16	Match with phenotype
Rifampicin	Ariba	26	1	Match with phenotype
Rifampicin	Ariba	26	2	Match with phenotype
Rifampicin	Ariba	26	3	Match with phenotype
Rifampicin	Ariba	26	4	Match with phenotype
Rifampicin	Ariba	26	5	Match with phenotype
Rifampicin	Ariba	26	6	Match with phenotype
Rifampicin	Ariba	26	7	Match with phenotype
Rifampicin	Ariba	26	8	Match with phenotype
Rifampicin	Ariba	26	9	Match with phenotype
Rifampicin	Ariba	26	10	Match with phenotype
Rifampicin	Ariba	26	11	Match with phenotype
Rifampicin	Ariba	26	12	Match with phenotype
Rifampicin	Ariba	26	13	Match with phenotype
Rifampicin	Ariba	26	14	Match with phenotype
Rifampicin	Ariba	26	15	Match with phenotype
Rifampicin	Ariba	26	16	Match with phenotype
Rifampicin	Ariba	27	1	Match with phenotype
Rifampicin	Ariba	27	2	Not match with phenotype
Rifampicin	Ariba	27	3	Match with phenotype
Rifampicin	Ariba	27	4	Match with phenotype
Rifampicin	Ariba	27	5	Match with phenotype
Rifampicin	Ariba	27	6	Match with phenotype
Rifampicin	Ariba	27	7	Match with phenotype
